nameList,gianName,flag
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"田中甲君,島聡君,原口一博君,松沢成文君",公職選挙法の一部を改正する法律案,0
"笹木竜三君,河村たかし君,石田勝之君,枝野幸男君,深田肇君,古川元久君,若松謙維君",行政評価基本法案,0
"亀井善之君,大島理森君,武部勤君,逢沢一郎君,御法川英文君,松下忠洋君,前原誠司君,吉田公一君,平田米男君,井上喜一君,畠山健治郎君",インドの核実験に抗議し、直ちに今後の核実験中止を求める決議案,0
"亀井善之君,大島理森君,武部勤君,逢沢一郎君,御法川英文君,松下忠洋君,前原誠司君,吉田公一君,平田米男君,井上喜一君,畠山健治郎君",パキスタンの核実験に抗議し、あらゆる国に今後の核実験中止を求める決議案,0
"菅直人君,小沢一郎君,不破哲三君,羽田孜君,野田毅君,志位和夫君,石井一君,二階俊博君,穀田恵二君",橋本内閣不信任決議案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,松本善明君,山本孝史君,若松謙維君",国家公務員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",国会職員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"北村哲男君,福岡宗也君,堀込征雄君,倉田栄喜君,石井啓一君,達増拓也君",行政情報の公開に関する法律案,0
"海江田万里君,粟屋敏信君,大口善徳君,鍵田節哉君,二見伸明君,中田宏君",国民の祝日に関する法律の一部を改正する法律案,0
"藤村修君,山元勉君,肥田美代子君,島聡君",中高一貫教育の推進に関する法律案,0
"原田昇左右君,福永信彦君,細田博之君,深田肇君,横光克彦君,園田博之君",国民の祝日に関する法律の一部を改正する法律案,0
"松本善明君,木島日出夫君",政治資金規正法の一部を改正する法律案,0
"松本善明君,木島日出夫君",政党助成法を廃止する法律案,0
"松本善明君,木島日出夫君",国の行政機関の職員等の営利企業等への就職の制限等に関する法律案,0
"松本善明君,木島日出夫君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"森山眞弓君,保岡興治君,辻元清美君,武村正義君",児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律案,0
"小杉隆君,木村義雄君,濱田健一君,園田博之君",民間資金等の活用による公共施設等の整備等の促進に関する法律案,0
"保岡興治君,熊代昭彦君,渡辺喜美君,横光克彦君,園田博之君,中井洽君,達増拓也君",借地借家法の一部を改正する法律案,0
"枝野幸男君,北村哲男君,池坊保子君,小沢辰男君,木島日出夫君,藤田スミ君,中川智子君,保坂展人君,武村正義君",民法の一部を改正する法律案,0
"野田毅君,中井洽君,西野陽君",国会議員等の入札干渉等の処罰等に関する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,秋葉忠利君,武村正義君",公職選挙法の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,秋葉忠利君,武村正義君",政治資金規正法の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,秋葉忠利君,武村正義君",国会法及び公職選挙法の一部を改正する法律案,0
